ts,event,model,decision_ms,p,speak,api_ms,toks_in,toks_out,end_to_end_ms,tension_s,tension_m,tension_l,silence_s,silence_m,silence_l,emotion
1758897448.0216086,decision,llama-3.3-70b-versatile,0.574,,False,,,,0.581,,,,,,,
1758897452.5656056,decision,llama-3.3-70b-versatile,0.407,0.49851347531382667,False,,,,0.412,0.27500669376926007,0.10667631758556516,0.02015374623647991,0.06612229666406058,0.02398277411569081,0.004425596300467848,curious
1758897484.734854,decision,llama-3.3-70b-versatile,0.695,0.5254143079242586,False,,,,0.7,0.39952585501376275,0.3336633345550165,0.10351076312294724,0.6458230115919518,0.5068988071583297,0.1456642579475441,bored
1758897496.7186224,decision,llama-3.3-70b-versatile,0.614,0.6482217282687393,False,,,,0.618,0.3999405651712292,0.36187104250027047,0.12965034814822374,0.8224470976083577,0.6518400704227276,0.2075636311925048,irritated
1758897502.8068275,decision,llama-3.3-70b-versatile,0.342,0.6085383863521209,False,,,,0.346,0.3999793089362537,0.3712225210246627,0.14203618939103962,0.905104095098868,0.724781855993984,0.24154322774109252,irritated
1758897548.8378365,decision,llama-3.3-70b-versatile,0.453,0.5234829924550245,False,,,,0.458,0.27265679489306754,0.1052158010675032,0.01983917665275814,0.07503869535411117,0.028956756591522158,0.005459999386798941,curious
1758900869.0865796,decision,llama-3.3-70b-versatile,0.389,,False,,,,0.4,,,,,,,
1758900916.1506352,no_candidate,llama-3.3-70b-versatile,0.729,0.5538251831055085,True,,3,,11918.679,,,,,,,bored
1758900943.0125663,no_candidate,llama-3.3-70b-versatile,0.952,0.6164289420907992,True,,7,,11645.843,,,,,,,curious
1758901015.799883,no_candidate,llama-3.3-70b-versatile,0.64,0.5549055196811796,True,,2,,11800.685,,,,,,,curious
1758901214.8385289,decision,llama-3.3-70b-versatile,0.42,,False,,,,0.429,,,,,,,
1758901227.2581878,response,llama-3.3-70b-versatile,0.514,0.5450689738906214,True,603.487,495,21,1516.833,0.3614516976854914,0.18565563926640016,0.03950271099764086,0.19337928227314058,0.09202349374577365,0.018913356309416603,curious
1758901243.7837036,decision,llama-3.3-70b-versatile,0.461,0.49091611449880007,False,,,,0.469,0.39830840843746235,0.30687717771712225,0.08626761738317561,0.2959722901964744,0.21002882386619692,0.05546518410808668,curious
1758901257.2527585,response,llama-3.3-70b-versatile,0.384,0.547733251534791,True,432.361,500,23,1527.065,0.39978643889326126,0.34637303275818376,0.11383674598113122,0.4740014765511275,0.3328966322288777,0.09450436497929046,curious
1758901272.9974391,response,llama-3.3-70b-versatile,0.545,0.5445614611218331,True,366.27,496,20,1511.04,0.3999860892356103,0.37411364363400224,0.14654833589668087,0.2764558084149382,0.29658042557641684,0.11373001565235152,curious
1758901282.7346249,decision,llama-3.3-70b-versatile,0.522,0.4981394202238371,False,,,,0.531,0.3999980190495994,0.38460627865461755,0.16757976842389405,0.20013548866538675,0.25235114599097114,0.11984833853617814,curious
1758901298.2392921,decision,llama-3.3-70b-versatile,0.457,0.5855901767476744,False,,,,0.466,0.3999998650714143,0.3924802214395444,0.19373881836770537,0.4291205830889812,0.3513303070229614,0.15654087929551674,curious
1758901309.2614045,response,llama-3.3-70b-versatile,0.533,0.5469670337552603,True,452.793,498,21,1534.592,0.39999997393415304,0.3951493885815835,0.20827323687949284,0.5702069500522742,0.44101200969061394,0.1880707519628853,curious
1759310991.796505,decision,llama-3.3-70b-versatile,0.174,0.6987992319522293,False,,,,0.184,0.36610703473863293,0.19288738852498066,0.04155894226749562,0.21728100027599553,0.1144768079893708,0.02466483211047931,curious,,0,0.7,0.9
1759311001.3727152,decision,llama-3.3-70b-versatile,0.136,0.7117352739135433,False,,,,0.149,0.3935508381692808,0.2669408125680314,0.06704096518394108,0.3627892329215577,0.21548730803667943,0.05113339385178882,curious,,0,0.7,0.9
1759311014.541377,response,llama-3.3-70b-versatile,0.092,0.6213961499795839,True,642.812,399,18,1505.629,0.39914556920604605,0.32238282505876237,0.095647903266649,0.5611016477725251,0.37211454763180807,0.09755060940797486,bored,experiment,1,0.7,0.9
1759311531.5551138,response,llama-3.3-70b-versatile,0.262,0.7068578518609002,True,299.963,630,20,1487.126,0.34673101628728226,0.1663474617401533,0.03428306055383308,0.16808550776284997,0.08064060109490842,0.016619469762350556,curious,punchline,1,0.7,0.9
1759311552.9152424,response,llama-3.3-70b-versatile,0.103,0.6509756551816449,True,530.229,667,19,1527.381,0.39867551388176253,0.31275846401659446,0.0896603900351404,0.3506640033998136,0.2527594225161202,0.0679058502493174,curious,origin,1,0.7,0.9
1759311564.4412427,response,llama-3.3-70b-versatile,0.118,0.677213540335632,True,409.446,623,21,1517.738,0.3998206075643433,0.34880921838604756,0.11604558895241898,0.2137344189414117,0.22776870661234072,0.0784804273640866,curious,punchline,1,0.7,0.9
1759311588.7651315,response,llama-3.3-70b-versatile,0.103,0.6241088630282888,True,522.95,631,20,1545.277,0.39999733707425134,0.38334263090986137,0.1645035339920401,0.4020927235811365,0.3472826868632516,0.13419048848399293,bored,punchline,1,0.7,0.9
1759312495.818645,response,llama-3.3-70b-versatile,0.84,0.8,True,619.828,747,22,1510.296,0.39999999958739024,0.39839433650917716,0.24053731163656106,0.9999999989684756,0.9959858412729429,0.6013432790914026,irritated,origin,1,0.7,0.9
1759312505.5961726,decision,llama-3.3-70b-versatile,0.416,0.7945270018026102,False,,,,0.423,0.3999999999416495,0.39904693484437126,0.2538146815695351,0.30294377691427377,0.6676449900866005,0.5669378876528677,irritated,,0,0.7,0.9
1759312526.9556847,response,llama-3.3-70b-versatile,0.501,0.8,True,501.039,802,22,1558.877,0.3999999999981123,0.39961826929937394,0.27449062285568726,0.5111740739356886,0.5780185264705455,0.5600354639822274,irritated,experiment,1,0.7,0.9
1759312540.367131,response,llama-3.3-70b-versatile,0.721,0.7881969065558945,True,591.653,759,19,3378.629,0.3999999999997467,0.39977657380491183,0.28520957220954174,0.23585406595982894,0.4184290225732681,0.5287054836788285,curious,punchline,2,0.9,0.95
1759312562.4038754,response,llama-3.3-70b-versatile,0.999,0.7418137508482949,True,413.086,779,21,1511.248,0.399999999999996,0.39992597076578296,0.30451161776256136,0.39582553444696866,0.40504158200598084,0.5067958938159598,irritated,punchline,1,0.7,0.9
1759312591.9494913,decision,llama-3.3-70b-versatile,0.457,0.8,False,,,,0.466,0.4,0.39998237431389727,0.3248248451510255,0.5170437057416349,0.49080385444696273,0.5090950837985508,irritated,,0,0.7,0.9
1759312626.4778585,decision,llama-3.3-70b-versatile,0.524,0.8,False,,,,0.533,0.4,0.39999642554933085,0.3423784578376816,0.998782707022419,0.8967361331283283,0.6237227793754649,irritated,,0,0.7,0.9
1759312643.5543818,response,llama-3.3-70b-versatile,0.523,0.8,True,341.616,774,19,1533.982,0.4,0.3999982570809644,0.34887937027918636,0.9999176526245876,0.9496480505907121,0.6661747022712831,irritated,punchline,1,0.7,0.9
1759312673.10085,no_candidate,llama-3.3-70b-versatile,0.459,0.8,True,,109,,5153.125,0.4,0.39999947407129544,0.3581330678529353,0.4384929118942163,0.588300029694239,0.6238107575464091,irritated,experiment,3,1.05,0.98
1759313886.4586387,response,llama-3.3-70b-versatile,0.091,,True,616.31,655,17,1526.63,0.31194224448564506,0.1100723472218126,0.020093656879830626,0.0,0.0,0.0,curious,punchline,1,0.7,0.9
1759313895.5884197,response,llama-3.3-70b-versatile,0.065,,True,391.897,658,18,1536.898,0.5009862906216609,0.26136389322284254,0.05603745723087338,0.0,0.0,0.0,curious,punchline,1,0.7,0.9
1759314070.7118485,response,llama-3.3-70b-versatile,0.053,,True,605.098,663,19,1980.443,0.5499999999999966,0.5499098913530507,0.42134401741345584,0.0,0.0,0.0,curious,punchline,1,0.7,0.9
1759314115.1387274,response,llama-3.3-70b-versatile,0.077,,True,398.95,695,16,1494.389,0.55,0.5499886903817338,0.45896461519283416,0.0,0.0,0.0,curious,experiment,1,0.7,0.9
1759314261.6175668,fallback,openai/gpt-oss-120b,0.056,,True,,62,,5605.142,0.25909024797879565,0.08591074468714457,0.015350505936206873,0.0,0.0,0.0,curious,punchline,3,1.1,0.98
1759314296.404928,fallback,openai/gpt-oss-120b,0.056,,True,,63,,23704.391,0.5338628713935736,0.33537203474079635,0.07983536479278666,0.0,0.0,0.0,curious,punchline,3,1.1,0.98
1759314347.6583989,fallback,openai/gpt-oss-120b,0.056,,True,,77,,13214.883,0.5499996359703034,0.5376243185347406,0.2577662114441069,0.0,0.0,0.0,curious,punchline,3,1.1,0.98
1759314665.3649795,response,llama-3.3-70b-versatile,0.077,,True,553.796,655,18,1480.741,0.27895445338658925,0.09458159364078002,0.017028477699719054,0.0,0.0,0.0,curious,punchline,1,0.7,0.9
1759314693.3076658,response,llama-3.3-70b-versatile,0.147,,True,505.801,673,21,1495.358,0.5478560820400865,0.42470853646499135,0.1201774909815251,0.0,0.0,0.0,curious,punchline,1,0.7,0.9
1759314710.4655685,response,llama-3.3-70b-versatile,0.066,,True,424.686,675,25,1692.621,0.5498865613517284,0.49278161656468034,0.17281173563741314,0.0,0.0,0.0,curious,experiment,1,0.7,0.9
