ts,event,model,decision_ms,p,speak,api_ms,toks_in,toks_out,end_to_end_ms,tension_s,tension_m,tension_l,silence_s,silence_m,silence_l,emotion
1758960804.471204,decision,llama-3.3-70b-versatile,0.54,,False,,,,0.552,,,,,,,
1758960804.8031614,decision,llama-3.3-70b-versatile,0.511,,False,,,,0.522,,,,,,,
1758960805.8051922,decision,llama-3.3-70b-versatile,0.463,,False,,,,0.474,,,,,,,
1758960806.5682144,decision,llama-3.3-70b-versatile,0.541,0.2676346826549581,False,,,,0.551,0.0,0.0,0.0,0.03580610972524965,0.012282199027993004,0.0022241702610958543,curious
1758960808.5111644,decision,llama-3.3-70b-versatile,0.581,0.21858695206544132,False,,,,0.6,0.0,0.0,0.0,0.05868744059723554,0.02117545593967872,0.0039117639550391905,curious
1758960849.2898753,decision,llama-3.3-70b-versatile,0.586,0.23359880300964342,False,,,,0.6,0.0,0.0,0.0,0.1430634566737243,0.06513517830701776,0.013118904249013063,curious
1758960851.8142135,decision,llama-3.3-70b-versatile,0.585,0.27001869096790476,False,,,,0.597,0.0,0.0,0.0,0.16816524343890793,0.08151476218206802,0.016984606692276614,curious
1758960857.8136191,response,llama-3.3-70b-versatile,0.515,0.31351901341979344,True,617.512,492,19,1495.699,0.0,0.0,0.0,0.23362670730805138,0.12049783261478467,0.026258022980891943,curious
1758961098.9972134,decision,llama-3.3-70b-versatile,0.476,,False,,,,0.487,,,,,,,
1758961111.0520117,decision,llama-3.3-70b-versatile,0.623,0.23710281477759348,False,,,,0.642,0.0,0.0,0.0,0.20588911797051526,0.10142027798249609,0.02116392857013647,curious
1758961114.1162007,decision,llama-3.3-70b-versatile,0.484,0.28730194322179087,False,,,,0.495,0.0,0.0,0.0,0.23836329438567522,0.12561970292820096,0.02731054186638971,curious
1758961115.67067,decision,llama-3.3-70b-versatile,0.514,0.23235572818081424,False,,,,0.526,0.0,0.0,0.0,0.25542933698391107,0.13844439836769082,0.03068253753850564,curious
